title ,worldwide gross (m),% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label,horror
Finding Nemo,940,1000%,10.0,94,381,40.5%,560,59.5%,"940,352,645",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=261,https://en.wikipedia.org/wiki/Finding_Nemo,,not horror
Fireproof,33,6696%,67.0,0.500,33.5,99.9%,0.0,0.1%,"33,480,000",2008,2000's,,,,not horror
Forrest Gump,678,1233%,12.3,55,330,48.7%,348,51.3%,"678,226,465",1994,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=340,https://en.wikipedia.org/wiki/Forrest_Gump,,not horror
Free Guy,332,265%,2.7,125,122,36.7%,210,63.3%,"331,526,598",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=656,https://www.pagalmovie.in/2021/10/free-guy-budget-box-office-hit-or-flop-cast-crew-story-wiki.html,,not horror
Frozen,1305,870%,8.7,150,401,30.7%,904,69.3%,"1,304,550,716",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=218,,,not horror
Frozen II,1450,967%,9.7,150,477,32.9%,973,67.1%,"1,450,026,933",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=211,,,not horror
Furious 7,1515,798%,8.0,190,353,23.3%,"1,162",76.7%,"1,515,341,399",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=209,,,not horror
G.I. Joe: Retaliation,376,289%,2.9,130,123,32.6%,253,67.4%,"375,740,705",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=564,,,not horror
Get Out,254,5652%,56.5,4.5,175.5,69.0%,78.8,31.0%,"254,329,516",2017,2010's,,,,horror
Ghost,506,2199%,22.0,23,218,43.0%,288,57.0%,"505,703,557",1990,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=425,https://en.wikipedia.org/wiki/Ghost_(1990_film),,not horror
Gladiator,465,452%,4.5,103,188,40.3%,278,59.7%,"465,380,802",2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=461,https://www.forbes.com/sites/simonthompson/2020/06/15/talking-gladiator-at-20-with-producer-douglas-wick/,,not horror
Glass,246.9,1235%,12.3,20.0,111.0,45.0%,135.9,55.0%,"246,908,596",2019,2010's,,,,not horror
God's Not Dead,63,3132%,31.3,2.0,60.8,97.0%,1.9,3.0%,"62,630,732",2014,2010's,,,,not horror
Godzilla,525,328%,3.3,160,201,38.2%,324,61.8%,"524,976,069",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=415,,,not horror
Godzilla,379,253%,2.5,150,136,36.0%,243,64.0%,"379,014,294",1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=558,https://en.wikipedia.org/wiki/Godzilla_(1998_film),,not horror
Godzilla vs. Kong,470,235%,2.4,200,101,21.5%,369,78.5%,"470,067,014",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=454,"https://en.wikipedia.org/wiki/Godzilla_vs._Kong#:~:text=It%20broke%20several%20pandemic%20box,highest%2Dgrossing%20film%20of%202021.",,not horror
Godzilla: King of the Monsters,387,227%,2.3,170,111,28.6%,276,71.4%,"386,600,138",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=546,,,not horror
GoldenEye,352,587%,5.9,60,106,30.2%,246,69.8%,"352,194,034",1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=616,https://en.wikipedia.org/wiki/Basic_Instinct,,not horror
Gone Girl,369,605%,6.1,61,168,45.4%,202,54.6%,"369,330,363",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=578,,,not horror
Grandma,7,1140%,11.4,0.600,6.7,98.5%,0.1,1.5%,"6,841,296",2015,2010's,,,,not horror
Gravity,723,723%,7.2,100,274,37.9%,449,62.1%,"723,192,705",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=326,,,not horror
Grease,396,6605%,66.0,6,190,48.0%,206,52.0%,"396,271,103",1978,1970's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=536,"https://www.broadway.com/buzz/181221/happy-birthday-grease-37-fun-facts-about-the-highest-grossing-movie-musical-of-all-time/#:~:text=Grease%20only%20cost%20%246%20million,movie%20musical%20of%20all%20time.",,not horror
Green Book,322,1399%,14.0,23,85,26.4%,237,73.6%,"321,752,656",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=674,,,not horror
Guardians of the Galaxy,773,455%,4.5,170,334,43.2%,440,56.8%,"773,350,147",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=308,,,not horror
Guardians of the Galaxy Vol. 2,864,432%,4.3,200,390,45.1%,474,54.9%,"863,756,051",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=280,,,not horror
Halloween ,254,2537%,25.4,10.0,159.3,62.8%,94.3,37.2%,"253,679,925",2018,2010's,,,,Horror
Hancock,629,420%,4.2,150,228,36.2%,401,63.8%,"629,443,428",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=360,,,not horror
Hannibal,352,404%,4.0,87,165,46.9%,187,53.1%,"351,692,268",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=619,https://en.wikipedia.org/wiki/Hannibal_(2001_film),,not horror
Happy Death Day,112,2341%,23.4,4.8,55.7,49.5%,56.7,50.5%,"112,381,005",2017,2010's,,,,horror
Happy Feet,384,384%,3.8,100,198,51.5%,186,48.5%,"384,336,108",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=550,https://en.wikipedia.org/wiki/Happy_Feet,,not horror
Harry Potter & the Goblet of Fire,897,598%,6.0,150,290,32.4%,606,67.6%,"896,815,106",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=269,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",,not horror
Harry Potter & the Order of the Phoenix,942,628%,6.3,150,292,31.0%,650,69.0%,"942,218,425",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=260,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",,not horror
Harry Potter & the Prisoner of Azkaban,798,614%,6.1,130,250,31.4%,548,68.6%,"797,660,766",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=295,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",,not horror
Harry Potter & the Sorcerer's Stone,1024,819%,8.2,125,319,31.2%,705,68.8%,"1,023,842,938",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=247,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",,not horror
Harry Potter and the Chamber of Secrets,903,903%,9.0,100,263,29.1%,640,70.9%,"902,746,596",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=266,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",,not horror
Harry Potter and the Deathly Hallows: Part 1,977,782%,7.8,125,296,30.3%,681,69.7%,"977,070,383",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=251,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_2,,not horror
Harry Potter and the Deathly Hallows: Part 2,1342,1074%,10.7,125,381,28.4%,961,71.6%,"1,342,359,942",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=214,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_2,,not horror
Harry Potter and the Half-Blood Prince,934,374%,3.7,250,302,32.4%,632,67.6%,"934,483,039",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=263,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",,not horror
"Hello, My Name is Doris",29,2896%,29.0,1.0,28.8,99.3%,0.2,0.7%,"28,962,889",2016,2010's,,,,not horror
High School Musical 3,253,2299%,23.0,11.0,90.6,35.8%,162.4,64.2%,"252,910,000",2008,2000's,,,,not horror
Hitch,372,531%,5.3,70,179,48.3%,192,51.7%,"371,594,210",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=573,https://en.wikipedia.org/wiki/Hitch_(film),,not horror
Hobbs & Shaw,761,380%,3.8,200,174,22.9%,587,77.1%,"760,732,926",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=311,,,not horror
Home,386,286%,2.9,135,177,46.0%,209,54.0%,"386,041,607",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=547,,,not horror
Home Alone,477,2648%,26.5,18,286,60.0%,191,40.0%,"476,684,675",1990,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=444,https://en.wikipedia.org/wiki/Home_Alone,,not horror
Home Alone 2,359,1282%,12.8,28,174,48.4%,185,51.6%,"358,994,850",1992,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=599,https://en.wikipedia.org/wiki/Home_Alone_2:_Lost_in_New_York,,not horror
Hotel Transylvania,358,422%,4.2,85,148,41.4%,210,58.6%,"358,375,603",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=600,,,not horror
Hotel Transylvania 2,475,594%,5.9,80,170,35.7%,305,64.3%,"475,186,706",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=446,,,not horror
Hotel Transylvania 3: Summer Vacation,529,661%,6.6,80,168,31.7%,361,68.3%,"528,583,774",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=412,,,not horror
How the Grinch Stole Christmas,346,281%,2.8,123,261,75.4%,85,24.6%,"345,823,032",2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=634,https://www.imdb.com/title/tt0170016/,,not horror
How to Train Your Dragon,495,300%,3.0,165,218,44.0%,277,56.0%,"494,879,471",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=430,,,not horror
How to Train Your Dragon 2,622,429%,4.3,145,177,28.5%,445,71.5%,"621,537,519",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=366,,,not horror
How to Train Your Dragon: The Hidden World,525,407%,4.1,129,161,30.7%,364,69.3%,"524,580,592",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=416,,,not horror
I Am Legend,585,390%,3.9,150,256,43.8%,329,56.2%,"585,410,052",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=382,https://en.wikipedia.org/wiki/I_Am_Legend_(film),,not horror
I Can Only Imagine,83,1193%,11.9,7.0,83.5,100.0%,0.0,0.0%,"83,482,352",2018,2010's,,,,not horror
"I, Robot",353,294%,2.9,120,145,41.0%,208,59.0%,"353,133,898",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=611,"https://en.wikipedia.org/wiki/I,_Robot_(film)",,not horror
Ice Age,383,639%,6.4,60,176,46.0%,207,54.0%,"383,257,136",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=554,https://en.wikipedia.org/wiki/Ice_Age_(2002_film),,not horror
Ice Age: Collision Course,409,389%,3.9,105,64,15.7%,345,84.3%,"408,754,975",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=517,https://en.wikipedia.org/wiki/Ice_Age:_Collision_Course,,not horror
Ice Age: Continental Drift,877,923%,9.2,95,161,18.4%,716,81.6%,"877,244,782",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=275,https://en.wikipedia.org/wiki/Ice_Age:_Continental_Drift,,not horror
Ice Age: Dawn of the Dinosaurs,887,985%,9.9,90,197,22.2%,690,77.8%,"886,686,817",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=272,https://en.wikipedia.org/wiki/Ice_Age:_Dawn_of_the_Dinosaurs,,not horror
Ice Age: The Meltdown,667,834%,8.3,80,195,29.3%,472,70.7%,"667,094,506",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=345,https://en.wikipedia.org/wiki/Ice_Age:_The_Meltdown,,not horror
Inception,837,523%,5.2,160,293,35.0%,544,65.0%,"836,848,102",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=285,https://www.google.com/search?q=inception+budget&oq=inception+budget&aqs=chrome..69i57j0i512l3j0i22i30j0i15i22i30j0i22i30l2j0i390l2.1869j1j4&sourceid=chrome&ie=UTF-8,,not horror
Incredibles 2,1243,622%,6.2,200,609,49.0%,635,51.0%,"1,243,089,244",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=219,https://en.wikipedia.org/wiki/Incredibles_2,,not horror
Independence Day,817,1090%,10.9,75,306,37.5%,511,62.5%,"817,400,891",1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=290,https://en.wikipedia.org/wiki/Independence_Day_(1996_film),,not horror
Independence Day: Resurgence,390,236%,2.4,165,103,26.5%,287,73.5%,"389,681,935",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=542,https://www.indiewire.com/2019/11/roland-emmerich-independence-day-resurgence-1202187244/,,not horror
Indiana Jones & the Last Crusade,474,988%,9.9,48,197,41.6%,277,58.4%,"474,171,806",1989,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=449,https://en.wikipedia.org/wiki/Indiana_Jones_and_the_Last_Crusade,,not horror
Indiana Jones and the Kingdom of the Crystal Skull,791,427%,4.3,185,317,40.1%,474,59.9%,"790,653,942",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=300,https://en.wikipedia.org/wiki/Indiana_Jones_and_the_Kingdom_of_the_Crystal_Skull,,not horror
Indiana Jones and the Temple of Doom,333,1190%,11.9,28,180,54.0%,153,46.0%,"333,107,271",1984,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=652,https://www.google.com/search?q=indiana+jones+and+the+temple+of+doom&stick=H4sIAAAAAAAAAONgVuLQz9U3yI63zHrEaMwt8PLHPWEprUlrTl5jVOHiCs7IL3fNK8ksqRQS42KDsnikuLjgmngWsapk5qVkJuYlKmTl56UWKyTmpSiUZKQqlKTmFuSkKuSnKaTk5-cCAAIGAk9pAAAA&sa=X&ved=2ahUKEwj7rrOWzv77AhX1QEEAHXuRB30Q1i96BAgGEAM&biw=560&bih=913&dpr=2,,not horror
Inglourious Basterds,321,459%,4.6,70,121,37.5%,201,62.5%,"321,457,747",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=677,https://en.wikipedia.org/wiki/Inglourious_Basterds,,not horror
Inside Out,859,491%,4.9,175,357,41.6%,502,58.4%,"858,848,019",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=281,https://en.wikipedia.org/wiki/Inside_Out_(2015_film),,not horror
Insidious,67,4485%,44.9,1.5,54.0,80.3%,13.3,19.7%,"67,280,000",2011,2010's,,,,horror
Insidious: Chpt 3,110,1095%,11.0,10.0,52.2,47.7%,57.3,52.3%,"109,518,558",2015,2010's,,,,horror
Insidious: The Last Key,168,1677%,16.8,10.0,67.3,40.2%,100.4,59.8%,"167,700,948",2018,2010's,,,,horror
Insidious Chpt 2,162,3238%,32.4,5.0,83.6,51.6%,78.3,48.4%,"161,919,318",2013,2010's,,,,horror
Instructions Not Included,99,1801%,18.0,5.5,44.5,44.9%,54.6,55.1%,"99,067,206",2013,2010's,,,,not horror
Interstellar,774,469%,4.7,165,188,24.3%,586,75.7%,"773,897,851",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=307,"https://en.wikipedia.org/wiki/Interstellar_(film)#:~:text=Interstellar%20grossed%20%24188%20million%20in,production%20budget%20of%20%24165%20million.",,not horror
